,N,dovar,obsvar,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,2,1234,CVE,24.053,21.935,0.9979428101213742,0.9979428101213742,0.002057189878625797,0.002057189878625797
1,3,0,-1,2,1234,CCVE,470.559,31.062,0.9979428101213742,0.9979428101213742,0.002057189878625797,0.002057189878625797
2,3,0,-1,2,1234,CCALPeps,531.764,478.181,0.9979210460978197,0.9979210460978197,0.0020789539021802447,0.0020789539021802694
3,3,0,-1,2,2468,CVE,25.107,22.982,0.025383395029085137,0.025383395029085137,0.9746166049709148,0.9746166049709148
4,3,0,-1,2,2468,CCVE,496.589,32.601,0.025383395029085147,0.025383395029085147,0.9746166049709148,0.9746166049709148
5,3,0,-1,2,2468,CCALPeps,562.735,504.721,0.025427516692241556,0.02542751669224159,0.9745724833077584,0.9745724833077585
6,4,0,-1,2,1234,CVE,25.7,21.654,0.9416588641720208,0.9416588641720208,0.05834113582797921,0.05834113582797921
7,4,0,-1,2,1234,CCVE,534.506,57.496,0.9416588641720208,0.9416588641720208,0.05834113582797922,0.05834113582797922
8,4,0,-1,2,1234,CCALPeps,791.541,734.818,0.9411400569421948,0.9411400569421949,0.058859943057805064,0.058859943057805134
9,4,0,-1,2,2468,CVE,25.889,20.914,0.0,0.0,1.0,1.0
10,4,0,-1,2,2468,CCVE,inf,inf,,,,
11,4,0,-1,2,2468,CCALPeps,inf,inf,,,,
12,5,0,-1,2,1234,CVE,inf,inf,,,,
13,5,0,-1,2,1234,CCVE,inf,inf,,,,
14,5,0,-1,2,1234,CCALPeps,inf,inf,,,,
15,5,0,-1,2,2468,CVE,inf,inf,,,,
16,5,0,-1,2,2468,CCVE,,,,,,
17,5,0,-1,2,2468,CCALPeps,,,,,,
18,6,0,-1,2,1234,CVE,,,,,,
19,6,0,-1,2,1234,CCVE,,,,,,
20,6,0,-1,2,1234,CCALPeps,,,,,,
21,6,0,-1,2,2468,CVE,,,,,,
22,6,0,-1,2,2468,CCVE,,,,,,
23,6,0,-1,2,2468,CCALPeps,,,,,,
24,7,0,-1,2,1234,CVE,,,,,,
25,7,0,-1,2,1234,CCVE,,,,,,
26,7,0,-1,2,1234,CCALPeps,,,,,,
27,7,0,-1,2,2468,CVE,,,,,,
28,7,0,-1,2,2468,CCVE,,,,,,
29,7,0,-1,2,2468,CCALPeps,,,,,,
30,8,0,-1,2,1234,CVE,,,,,,
31,8,0,-1,2,1234,CCVE,,,,,,
32,8,0,-1,2,1234,CCALPeps,,,,,,
33,8,0,-1,2,2468,CVE,,,,,,
34,8,0,-1,2,2468,CCVE,,,,,,
35,8,0,-1,2,2468,CCALPeps,,,,,,
36,9,0,-1,2,1234,CVE,,,,,,
37,9,0,-1,2,1234,CCVE,,,,,,
38,9,0,-1,2,1234,CCALPeps,,,,,,
39,9,0,-1,2,2468,CVE,,,,,,
40,9,0,-1,2,2468,CCVE,,,,,,
41,9,0,-1,2,2468,CCALPeps,,,,,,
